ref_code,base_y,base_x,offsets
W0C/SR-026,14064,-28071,0:0
W0C/SR-027,14326,-27681,-1:0 0:0
W0C/SR-028,14451,-27707,-1:0 0:-1 0:0 1:0 1:1
W0C/SR-029,14754,-27530,0:0 0:3 1:0
W0C/SR-030,14614,-27588,0:0
W0C/SR-031,14759,-27524,0:0 1:0
W0C/SR-032,14377,-27703,0:0
W0C/SR-033,14327,-27744,-1:0 0:-1 0:0 1:1
W0C/SR-034,14429,-27835,0:0
W0C/SR-035,14743,-27536,-4:-2 -3:3 -1:-1 -1:0 0:0 1:0 1:1 2:1
W0C/SR-036,14585,-27740,-1:0 0:-1 0:0
W0C/SR-037,14410,-27898,0:0
W0C/SR-039,14541,-27908,-1:-1 -1:0 0:-3 0:0 1:-3 2:-3
W0C/SR-040,14739,-27567,-4:1 -3:1 -2:1 -1:0 0:-1 0:0
W0C/SR-041,14572,-27671,-1:0 -1:1 0:0 0:1 1:0 2:0 3:0 4:1
W0C/SR-042,14442,-27877,-2:0 -1:0 0:0 2:0
W0C/SR-043,14672,-27642,-1:0 0:0 1:0
W0C/SR-044,14374,-27965,0:0 0:1
W0C/SR-045,14650,-27656,-4:1 -1:0 0:0 1:0
W0C/SR-046,14735,-27559,-1:0 0:-4 0:0 0:1 1:-3 1:1 1:4 2:2 2:3 2:4 3:3 3:4
W0C/SR-058,14513,-27729,0:0 0:1 1:0 2:-1
W0C/SR-059,14570,-27641,-1:0 0:0
W0C/SR-060,14500,-27887,0:0
W0C/SR-061,14527,-27649,0:0 0:1 1:0 1:1 3:0 4:0 4:1
W0C/SR-062,14470,-27852,0:0
W0C/SR-063,14457,-27828,0:0
W0C/SR-064,14513,-27653,-4:2 -3:1 -1:0 0:0
W0C/SR-065,14510,-27736,-1:-1 0:-1 0:0
W0C/SR-066,14479,-27738,-1:0 0:0 1:0 2:0
W0C/SR-067,14567,-27651,-4:2 -2:1 -1:0 0:0
W0C/SR-068,14555,-27652,0:0 4:0
W0C/SR-069,14502,-27740,0:0
W0C/SR-070,14521,-27653,0:0 1:0 4:2
W0C/SR-071,14496,-27741,0:0
W0C/SR-072,14624,-27744,-1:-1 0:-1 0:0
W0C/SR-073,14449,-27842,0:0 1:0
W0C/SR-074,14500,-27735,0:0 0:1
W0C/SR-075,14446,-27760,0:0
W0C/SR-076,14490,-27888,0:0 1:0 2:4 3:3
W0C/SR-077,14511,-27764,-1:0 0:0
W0C/SR-078,14621,-27760,0:0
W0C/SR-079,14499,-27754,-2:-3 -2:4 0:0 0:3 1:3
W0C/SR-080,14486,-27863,0:0
W0C/SR-081,14628,-27759,0:0
W0C/SR-082,14489,-27858,0:0
W0C/SR-083,14506,-27769,0:0
W0C/SR-084,14508,-27883,-1:0 0:0
W0C/SR-085,14506,-27744,-3:3 -2:0 -1:0 0:0 1:0
W0C/SR-086,14466,-27777,0:0 1:0
W0C/SR-087,14461,-27769,0:0
W0C/SR-088,14604,-27727,0:-2 0:-1 0:0 1:-1 1:0
W0C/SR-089,14722,-27692,-4:1 -3:1 0:0 2:-2 4:-2
W0C/SR-090,14580,-27713,-2:-3 0:0
W0C/SR-091,14473,-27755,0:0 1:0 2:-2
W0C/SR-092,14689,-27662,0:0
W0C/SR-093,14618,-27759,-1:0 0:0 2:0 3:-2 3:0 4:0
W0C/SR-094,14607,-27755,0:0 1:-1 2:-1
W0C/SR-095,14698,-27673,-2:1 0:0 1:-1
W0C/SR-096,14604,-27751,-1:0 0:0
W0C/SR-097,14692,-27667,-3:1 0:0 1:0
W0C/SR-098,14703,-27677,0:0
W0C/SR-099,14705,-27681,0:0 1:0 5:-1
W0C/SR-100,14523,-27753,0:0
W0C/SR-101,14505,-27753,-5:-1 -4:2 -3:2 -3:3 -2:4 -1:4 0:-1 0:0 1:-1 2:-3
W0C/SR-104,14611,-27761,0:0
W0C/SR-105,14467,-27744,-1:0 0:0 0:1
W0C/SR-107,14473,-27787,-2:1 -1:1 0:0
W0C/SR-109,14667,-27653,-1:0 0:0
W0C/SR-110,14561,-27717,-1:0 0:-2 0:-1 0:0 1:0
