# lat,lon,effective_radius_m -- worldwide city anchors for
# score_points()'s in-city test (docs/features/places.md). US rows are
# the untouched original app/reference/places.csv (US Census 2024
# Gazetteer places, radius = sqrt(ALAND/pi)). Non-US rows are derived
# from GeoNames cities500 (download.geonames.org), radius estimated from
# population (GeoNames carries no land-area figure) at an assumed
# 1500 people/km^2, clamped to [300m, 25000m] -- see
# scripts/build_global_anchors.py for the derivation and the
# Boise/SLC/Denver sanity check against the real US Census circles.
30.5423,-96.5273,465
30.555,-98.3276,939
30.5602,-98.2773,3687
30.5642,-98.2951,786
30.5707,-100.6418,1355
30.572,-97.4304,4320
30.5743,-97.8617,5656
30.5789,-103.8947,2983
30.5852,-96.2964,6494
30.586,-98.4188,1180
30.5882,-97.2977,619
30.5886,-104.4953,633
30.5888,-98.3673,2413
30.5893,-95.1312,1237
30.604,-95.8876,1447
30.6071,-98.3952,603
30.6081,-92.775,1901
30.6093,-94.9466,762
30.6106,-93.225,2169
30.6126,-94.4229,1865
30.614,-97.2065,891
30.6315,-97.0283,2073
30.6512,-93.4117,2393
30.6534,-95.1306,1273
30.6557,-97.0085,1880
30.6582,-93.9001,1411
30.6634,-97.9055,1954
30.6636,-97.8306,1805
30.666,-96.381,6755
30.6661,-98.454,2731
30.6681,-97.6987,6924
30.6767,-97.5911,1225
30.6796,-94.414,1620
30.6859,-101.8224,854
30.6876,-94.7462,1226
30.7005,-95.5549,5869
30.7014,-95.0203,4426
30.7053,-96.8527,1227
30.7074,-101.2061,1961
30.71,-94.9379,2683
30.7127,-97.6931,1333
